"aluexon"	"chr_hg19_t"	"start_hg19_t"	"end_hg19_t"	"position_hg19_t"	"strand_hg19_t"	"distance_hg19_t"	"chr_alu_hg19_t"	"start_alu_hg19_t"	"end_alu_hg19_t"	"alu_element_hg19_t"	"alu_substitutions_hg19_t"	"alu_strand_hg19_t"	"chr_hg19"	"start_hg19"	"end_hg19"	"position_hg19"	"strand_hg19"	"distance_hg19"	"3SSS_hg19"	"WU_hg19"	"U1_hg19"	"U2_hg19"	"region_hg19"	"chr_panTro4"	"start_panTro4"	"end_panTro4"	"position_panTro4"	"strand_panTro4"	"distance_panTro4"	"3SSS_panTro4"	"WU_panTro4"	"U1_panTro4"	"U2_panTro4"	"region_panTro4"	"chr_nomLeu1"	"start_nomLeu1"	"end_nomLeu1"	"position_nomLeu1"	"strand_nomLeu1"	"distance_nomLeu1"	"3SSS_nomLeu1"	"WU_nomLeu1"	"U1_nomLeu1"	"U2_nomLeu1"	"region_nomLeu1"	"chr_rheMac3"	"start_rheMac3"	"end_rheMac3"	"position_rheMac3"	"strand_rheMac3"	"distance_rheMac3"	"3SSS_rheMac3"	"WU_rheMac3"	"U1_rheMac3"	"U2_rheMac3"	"region_rheMac3"	"chr_calJac3"	"start_calJac3"	"end_calJac3"	"position_calJac3"	"strand_calJac3"	"distance_calJac3"	"3SSS_calJac3"	"WU_calJac3"	"U1_calJac3"	"U2_calJac3"	"region_calJac3"	"furthest_all"	"furthest"	"UCSCtype"	"dist"	"Exon_Originated"
"Aluexon:2065"	"chr19"	37686929	37686930	"chr19:37686929:37686930:-"	"-"	25	"chr19"	37686647	37686955	"AluSp"	"lowest"	"-"	"chr19"	37686929	37686930	"chr19:37686929:37686930:-"	"-"	25	0.42	8	8	5	"hg19"	"chr19"	41551883	41551884	"chr19:37686929:37686930:-"	"+"	25	-10.08	6	6	5	"panTro4"	"GL397261"	47474837	47474838	"chr19:37686929:37686930:-"	"+"	25	-6.66	15	15	5	"nomLeu1"	"chr19"	43696814	43696815	"chr19:37686929:37686930:-"	"+"	25	-6.3	12	12	3	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:2066"	"chr19"	37690399	37690400	"chr19:37690399:37690400:-"	"-"	31	"chr19"	37690148	37690431	"AluJb"	"highest"	"-"	"chr19"	37690399	37690400	"chr19:37690399:37690400:-"	"-"	31	8.3	6	6	6	"hg19"	"chr19"	41548399	41548400	"chr19:37690399:37690400:-"	"+"	31	9.42	6	4	6	"panTro4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", NA, NA, NA)"	"panTro4"	"cryptic"	"Right arm"	"Constant Exon"
"Aluexon:2067"	"chr19"	37715718	37715719	"chr19:37715718:37715719:+"	"+"	18	"chr19"	37715701	37715995	"AluSg"	"low"	"+"	"chr19"	37715718	37715719	"chr19:37715718:37715719:+"	"+"	18	10.03	13	13	5	"hg19"	"chr19"	41523000	41523001	"chr19:37715718:37715719:+"	"-"	18	10.1	11	11	5	"panTro4"	"GL397261"	47440098	47440099	"chr19:37715718:37715719:+"	"-"	18	10.24	14	14	5	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"alternative"	"Right arm"	"Constant Exon"
"Aluexon:207"	"chr1"	113591182	113591183	"chr1:113591182:113591183:-"	"-"	28	"chr1"	113590909	113591211	"AluSp"	"lowest"	"-"	"chr1"	113591182	113591183	"chr1:113591182:113591183:-"	"-"	28	-11.35	22	22	5	"hg19"	"chr1"	123755194	123755195	"chr1:113591182:113591183:-"	"+"	28	-9.61	27	27	5	"panTro4"	"GL397313"	8396307	8396308	"chr1:113591182:113591183:-"	"-"	28	-9.61	19	19	4	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"alternative"	"Right arm"	"Emerging Exon"
"Aluexon:2070"	"chr19"	37293358	37293359	"chr19:37293358:37293359:+"	"+"	21	"chr19"	37293338	37293635	"AluY"	"low"	"+"	"chr19"	37293358	37293359	"chr19:37293358:37293359:+"	"+"	21	10.33	15	15	10	"hg19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", NA, NA, NA, NA)"	"hg19"	"alternative"	"Right arm"	NA
"Aluexon:2071"	"chr19"	38249236	38249237	"chr19:38249236:38249237:-"	"-"	29	"chr19"	38248959	38249266	"AluSx"	"lowest"	"-"	"chr19"	38249236	38249237	"chr19:38249236:38249237:-"	"-"	29	12.1	16	16	5	"hg19"	"chr19"	42917392	42917393	"chr19:38249236:38249237:-"	"-"	29	10.73	12	12	5	"panTro4"	"GL397261"	46960779	46960780	"chr19:38249236:38249237:-"	"+"	29	9.48	12	12	5	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"alternative"	"Right arm"	"Evolving Exon"
"Aluexon:2072"	"chr19"	38249779	38249780	"chr19:38249779:38249780:-"	"-"	24	"chr19"	38249678	38249804	"FLAM_C"	"high"	"-"	"chr19"	38249779	38249780	"chr19:38249779:38249780:-"	"-"	24	6.59	5	4	5	"hg19"	"chr19"	42917935	42917936	"chr19:38249779:38249780:-"	"-"	24	6.59	5	4	5	"panTro4"	"GL397261"	46960230	46960231	"chr19:38249779:38249780:-"	"+"	24	6.59	5	4	5	"nomLeu1"	"chr19"	44177733	44177734	"chr19:38249779:38249780:-"	"-"	24	5.41	5	4	5	"rheMac3"	"chr22"	30572136	30572137	"chr19:38249779:38249780:-"	"+"	24	5.96	5	3	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Constant Exon"
"Aluexon:2073"	"chr19"	38220685	38220686	"chr19:38220685:38220686:-"	"-"	222	"chr19"	38220597	38220908	"AluSp"	"lowest"	"-"	"chr19"	38220685	38220686	"chr19:38220685:38220686:-"	"-"	222	2	8	8	8	"hg19"	"chr19"	42894738	42894739	"chr19:38220685:38220686:-"	"-"	222	2	27	27	7	"panTro4"	"GL397261"	46990500	46990501	"chr19:38220685:38220686:-"	"+"	222	2	12	12	8	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr22"	30590818	30590819	"chr19:38220685:38220686:-"	"+"	222	1.74	5	5	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:2074"	"chr19"	38142449	38142450	"chr19:38142449:38142450:-"	"-"	42	"chr19"	38142196	38142492	"AluSc8"	"lowest"	"-"	"chr19"	38142449	38142450	"chr19:38142449:38142450:-"	"-"	42	3.89	16	16	6	"hg19"	"chr19"	42814352	42814353	"chr19:38142449:38142450:-"	"-"	42	3.89	25	25	6	"panTro4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr19"	44090209	44090210	"chr19:38142449:38142450:-"	"-"	42	4.71	6	6	6	"rheMac3"	"chr22"	30627807	30627808	"chr19:38142449:38142450:-"	"+"	42	3.46	20	20	6	"calJac3"	"c(\"hg19\", \"panTro4\", NA, \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Right arm"	"Constant Exon"
"Aluexon:2075"	"chr19"	38894612	38894613	"chr19:38894612:38894613:+"	"+"	85	"chr19"	38894528	38894832	"AluSq"	"lowest"	"+"	"chr19"	38894612	38894613	"chr19:38894612:38894613:+"	"+"	85	-25.28	6	6	5	"hg19"	"chr19"	43611527	43611528	"chr19:38894612:38894613:+"	"+"	85	-24.8	6	6	5	"panTro4"	"GL397261"	46312078	46312079	"chr19:38894612:38894613:+"	"-"	85	-25.44	5	5	5	"nomLeu1"	"chr19"	44832279	44832280	"chr19:38894612:38894613:+"	"+"	85	-23.43	7	7	6	"rheMac3"	"chr22"	31696442	31696443	"chr19:38894612:38894613:+"	"+"	85	-24.19	6	6	6	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:2076"	"chr19"	1439603	1439604	"chr19:1439603:1439604:+"	"+"	45	"chr19"	1439559	1439689	"AluJo"	"high"	"+"	"chr19"	1439603	1439604	"chr19:1439603:1439604:+"	"+"	45	7.97	5	5	5	"hg19"	"chr19"	1390626	1390627	"chr19:1439603:1439604:+"	"+"	45	5.14	5	4	5	"panTro4"	"GL397406"	1265608	1265609	"chr19:1439603:1439604:+"	"+"	45	5.14	5	5	5	"nomLeu1"	"chr19"	1218718	1218719	"chr19:1439603:1439604:+"	"+"	45	6	5	5	5	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Right arm"	"Evolving Exon"
"Aluexon:2077"	"chr19"	1461823	1461824	"chr19:1461823:1461824:-"	"-"	53	"chr19"	1461570	1461877	"AluY"	"lowest"	"-"	"chr19"	1461823	1461824	"chr19:1461823:1461824:-"	"-"	53	9.06	12	12	6	"hg19"	"chr19"	1414941	1414942	"chr19:1461823:1461824:-"	"-"	53	7.82	9	9	6	"panTro4"	"GL397406"	1292313	1292314	"chr19:1461823:1461824:-"	"-"	53	3.89	9	9	6	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr22"	1158683	1158684	"chr19:1461823:1461824:-"	"-"	53	6.59	17	17	7	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Evolving Exon"
"Aluexon:2079"	"chr19"	38596927	38596928	"chr19:38596927:38596928:+"	"+"	179	"chr19"	38596749	38597046	"AluSx1"	"lowest"	"+"	"chr19"	38596927	38596928	"chr19:38596927:38596928:+"	"+"	179	3.86	16	16	5	"hg19"	"chr19"	43306554	43306555	"chr19:38596927:38596928:+"	"+"	179	5.46	16	16	6	"panTro4"	"GL397261"	46632267	46632268	"chr19:38596927:38596928:+"	"-"	179	4.31	15	15	5	"nomLeu1"	"chr19"	44517871	44517872	"chr19:38596927:38596928:+"	"+"	179	3.6	11	11	5	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Left arm"	"Constant Exon"
"Aluexon:208"	"chr1"	144595852	144595853	"chr1:144595852:144595853:+"	"+"	42	"chr1"	144595811	144596109	"AluJb"	"high"	"+"	"chr1"	144595852	144595853	"chr1:144595852:144595853:+"	"+"	42	3.59	10	10	5	"hg19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", NA, NA, NA, NA)"	"hg19"	"alternative"	"Right arm"	NA
"Aluexon:2080"	"chr19"	39481401	39481402	"chr19:39481401:39481402:-"	"-"	21	"chr19"	39481124	39481423	"AluSx1"	"low"	"-"	"chr19"	39481401	39481402	"chr19:39481401:39481402:-"	"-"	21	12.03	16	16	5	"hg19"	"chr12"	108987141	108987142	"chr19:39481401:39481402:-"	"+"	21	NA	NA	NA	5	"panTro4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr19"	45425068	45425069	"chr19:39481401:39481402:-"	"-"	21	1.61	5	5	5	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", NA, \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:2081"	"chr19"	39505187	39505188	"chr19:39505187:39505188:-"	"-"	209	"chr19"	39505073	39505397	"AluJb"	"high"	"-"	"chr19"	39505187	39505188	"chr19:39505187:39505188:-"	"-"	209	9.81	9	7	9	"hg19"	"chr19"	44233106	44233107	"chr19:39505187:39505188:-"	"-"	209	9.91	12	7	12	"panTro4"	"GL398690"	4701	4702	"chr19:39505187:39505188:-"	"+"	209	9.81	9	6	9	"nomLeu1"	"chr19"	45442608	45442609	"chr19:39505187:39505188:-"	"-"	209	7.2	NA	6	NA	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Left arm"	"Evolving Exon"
"Aluexon:2083"	"chr19"	37815696	37815697	"chr19:37815696:37815697:+"	"+"	23	"chr19"	37815674	37815978	"AluY"	"moderate"	"+"	"chr19"	37815696	37815697	"chr19:37815696:37815697:+"	"+"	23	10.6	14	14	5	"hg19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr19"	42884721	42884722	"chr19:37815696:37815697:+"	"-"	23	11.84	15	15	5	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", NA, NA, \"rheMac3\", NA)"	"rheMac3"	"alternative"	"Right arm"	"Constant Exon"
"Aluexon:2084"	"chr19"	37849441	37849442	"chr19:37849441:37849442:+"	"+"	22	"chr19"	37849420	37849720	"AluSg7"	"lowest"	"+"	"chr19"	37849441	37849442	"chr19:37849441:37849442:+"	"+"	22	4.8	13	13	5	"hg19"	"chr19"	42501080	42501081	"chr19:37849441:37849442:+"	"+"	22	4.64	6	6	5	"panTro4"	"GL397261"	47365570	47365571	"chr19:37849441:37849442:+"	"-"	22	4.64	16	16	5	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"alternative"	"Right arm"	"Constant Exon"
"Aluexon:2087"	"chr19"	37875768	37875769	"chr19:37875768:37875769:+"	"+"	25	"chr19"	37875744	37876009	"AluJo"	"high"	"+"	"chr19"	37875768	37875769	"chr19:37875768:37875769:+"	"+"	25	5	7	7	7	"hg19"	"chr19"	42532385	42532386	"chr19:37875768:37875769:+"	"+"	25	5	7	7	7	"panTro4"	"GL397261"	47330493	47330494	"chr19:37875768:37875769:+"	"-"	25	5	7	6	7	"nomLeu1"	"chr19"	43811305	43811306	"chr19:37875768:37875769:+"	"+"	25	5	7	7	6	"rheMac3"	"chr22"	30908863	30908864	"chr19:37875768:37875769:+"	"-"	25	-4.38	7	7	7	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Emerging Exon"
"Aluexon:2088"	"chr19"	37828418	37828419	"chr19:37828418:37828419:+"	"+"	58	"chr19"	37828361	37828644	"AluSx3"	"low"	"+"	"chr19"	37828418	37828419	"chr19:37828418:37828419:+"	"+"	58	-24.44	8	8	4	"hg19"	"chr19"	42480250	42480251	"chr19:37828418:37828419:+"	"+"	58	-24.44	10	10	4	"panTro4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", NA, NA, NA)"	"panTro4"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:2089"	"chr19"	37828621	37828622	"chr19:37828621:37828622:+"	"+"	261	"chr19"	37828361	37828644	"AluSx3"	"low"	"+"	"chr19"	37828621	37828622	"chr19:37828621:37828622:+"	"+"	261	0.11	8	8	4	"hg19"	"chr19"	42480453	42480454	"chr19:37828621:37828622:+"	"+"	261	-1.38	10	10	4	"panTro4"	"GL397261"	47386613	47386614	"chr19:37828621:37828622:+"	"-"	261	-0.94	NA	NA	NA	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:209"	"chr1"	144596282	144596283	"chr1:144596282:144596283:+"	"+"	19	"chr1"	144596264	144596561	"AluJb"	"high"	"+"	"chr1"	144596282	144596283	"chr1:144596282:144596283:+"	"+"	19	11.29	13	13	6	"hg19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr1"	94882074	94882075	"chr1:144596282:144596283:+"	"-"	19	9.7	7	7	6	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", NA, NA, \"rheMac3\", NA)"	"rheMac3"	"alternative"	"Right arm"	"Evolving Exon"
"Aluexon:2090"	"chr19"	36153626	36153627	"chr19:36153626:36153627:+"	"+"	199	"chr19"	36153428	36153742	"AluJb"	"moderate"	"+"	"chr19"	36153626	36153627	"chr19:36153626:36153627:+"	"+"	199	9.3	13	13	5	"hg19"	"chr19"	40856111	40856112	"chr19:36153626:36153627:+"	"+"	199	9.3	11	11	5	"panTro4"	"GL397480"	1087021	1087022	"chr19:36153626:36153627:+"	"+"	199	9.3	8	8	5	"nomLeu1"	"chr19"	42258943	42258944	"chr19:36153626:36153627:+"	"+"	199	8.72	9	9	7	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Left arm"	"Constant Exon"
"Aluexon:2091"	"chr19"	36167136	36167137	"chr19:36167136:36167137:+"	"+"	55	"chr19"	36167082	36167385	"AluSz"	"moderate"	"+"	"chr19"	36167136	36167137	"chr19:36167136:36167137:+"	"+"	55	5.36	12	12	5	"hg19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr19"	42275320	42275321	"chr19:36167136:36167137:+"	"+"	55	4.86	7	7	5	"rheMac3"	"chr22"	29504599	29504600	"chr19:36167136:36167137:+"	"+"	55	3.89	NA	5	NA	"calJac3"	"c(\"hg19\", NA, NA, \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Evolving Exon"
"Aluexon:2092"	"chr19"	39883290	39883291	"chr19:39883290:39883291:+"	"+"	31	"chr19"	39883260	39883532	"AluJr4"	"high"	"+"	"chr19"	39883290	39883291	"chr19:39883290:39883291:+"	"+"	31	4.19	20	20	7	"hg19"	"chr19"	44616558	44616559	"chr19:39883290:39883291:+"	"+"	31	4.19	27	27	7	"panTro4"	"GL397330"	2245636	2245637	"chr19:39883290:39883291:+"	"-"	31	2.98	11	11	6	"nomLeu1"	"chr19"	45831231	45831232	"chr19:39883290:39883291:+"	"+"	31	4.19	17	17	6	"rheMac3"	"chr22"	32693023	32693024	"chr19:39883290:39883291:+"	"+"	31	4.19	18	14	18	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Right arm"	"Constant Exon"
"Aluexon:2093"	"chr19"	41044513	41044514	"chr19:41044513:41044514:+"	"+"	15	"chr19"	41044499	41044793	"AluJr"	"high"	"+"	"chr19"	41044513	41044514	"chr19:41044513:41044514:+"	"+"	15	1.78	7	7	5	"hg19"	"chr19"	45739675	45739676	"chr19:41044513:41044514:+"	"+"	15	1.78	7	7	5	"panTro4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr19"	47000800	47000801	"chr19:41044513:41044514:+"	"+"	15	-3.69	8	8	5	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", NA, \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:2095"	"chr19"	40517156	40517157	"chr19:40517156:40517157:+"	"+"	36	"chr19"	40517121	40517429	"AluSx4"	"lowest"	"+"	"chr19"	40517156	40517157	"chr19:40517156:40517157:+"	"+"	36	8.45	14	14	5	"hg19"	"chr19"	45194129	45194130	"chr19:40517156:40517157:+"	"+"	36	9.23	15	15	5	"panTro4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr22"	33447214	33447215	"chr19:40517156:40517157:+"	"+"	36	-4.82	9	9	5	"calJac3"	"c(\"hg19\", \"panTro4\", NA, NA, \"calJac3\")"	"calJac3"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:2097"	"chr19"	39982535	39982536	"chr19:39982535:39982536:+"	"+"	36	"chr19"	39982500	39982652	"AluJo"	"highest"	"+"	"chr19"	39982535	39982536	"chr19:39982535:39982536:+"	"+"	36	2.92	9	9	4	"hg19"	"chr19"	44717258	44717259	"chr19:39982535:39982536:+"	"+"	36	3.83	9	9	4	"panTro4"	"GL397330"	2141117	2141118	"chr19:39982535:39982536:+"	"-"	36	4.64	11	11	4	"nomLeu1"	"chr19"	45935747	45935748	"chr19:39982535:39982536:+"	"+"	36	6.21	8	8	4	"rheMac3"	"chr22"	32795261	32795262	"chr19:39982535:39982536:+"	"+"	36	3.83	5	5	4	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Right arm"	"Constant Exon"
"Aluexon:2098"	"chr19"	39983933	39983934	"chr19:39983933:39983934:+"	"+"	40	"chr19"	39983894	39984043	"AluSx"	"highest"	"+"	"chr19"	39983933	39983934	"chr19:39983933:39983934:+"	"+"	40	1.52	10	10	3	"hg19"	"chr19"	44718652	44718653	"chr19:39983933:39983934:+"	"+"	40	1.52	12	12	3	"panTro4"	"GL397330"	2139426	2139427	"chr19:39983933:39983934:+"	"-"	40	3.15	NA	22	NA	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr22"	32796659	32796660	"chr19:39983933:39983934:+"	"+"	40	1.44	17	17	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, \"calJac3\")"	"calJac3"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:2099"	"chr19"	39982083	39982084	"chr19:39982083:39982084:+"	"+"	276	"chr19"	39981808	39982106	"AluSp"	"lowest"	"+"	"chr19"	39982083	39982084	"chr19:39982083:39982084:+"	"+"	276	-0.58	12	12	7	"hg19"	"chr19"	44716810	44716811	"chr19:39982083:39982084:+"	"+"	276	-1.38	12	12	7	"panTro4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", NA, NA, NA)"	"panTro4"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:21"	"chr1"	9714101	9714102	"chr1:9714101:9714102:-"	"-"	46	"chr1"	9713983	9714148	"FRAM"	"highest"	"-"	"chr1"	9714101	9714102	"chr1:9714101:9714102:-"	"-"	46	5.84	4	3	4	"hg19"	"chr1"	9762685	9762686	"chr1:9714101:9714102:-"	"-"	46	5.84	4	3	4	"panTro4"	"GL397361"	3126483	3126484	"chr1:9714101:9714102:-"	"-"	46	4.31	4	3	4	"nomLeu1"	"chr1"	12812062	12812063	"chr1:9714101:9714102:-"	"-"	46	5.37	5	5	4	"rheMac3"	"chr7"	44167022	44167023	"chr1:9714101:9714102:-"	"-"	46	5.65	5	5	3	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Constant Exon"
"Aluexon:210"	"chr1"	144595833	144595834	"chr1:144595833:144595834:+"	"+"	23	"chr1"	144595811	144596109	"AluJb"	"high"	"+"	"chr1"	144595833	144595834	"chr1:144595833:144595834:+"	"+"	23	-2.03	10	10	5	"hg19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", NA, NA, NA, NA)"	"hg19"	"alternative"	"Right arm"	NA
"Aluexon:2101"	"chr17"	16381734	16381735	"chr17:16381734:16381735:+"	"+"	245	"chr17"	16381490	16381799	"AluSx"	"moderate"	"+"	"chr17"	16381734	16381735	"chr17:16381734:16381735:+"	"+"	245	5.61	14	14	5	"hg19"	"chr17_GL392652_random"	627921	627922	"chr17:16381734:16381735:+"	"+"	245	5.61	13	13	5	"panTro4"	"GL397288"	4093209	4093210	"chr17:16381734:16381735:+"	"-"	245	6.55	13	13	5	"nomLeu1"	"chr16"	16670893	16670894	"chr17:16381734:16381735:+"	"-"	245	4.85	18	18	5	"rheMac3"	"chr5"	77703237	77703238	"chr17:16381734:16381735:+"	"-"	245	6.24	13	13	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Constant Exon"
"Aluexon:2102"	"chr19"	39381277	39381278	"chr19:39381277:39381278:-"	"-"	81	"chr19"	39381049	39381359	"AluSx"	"low"	"-"	"chr19"	39381277	39381278	"chr19:39381277:39381278:-"	"-"	81	-7.69	16	16	4	"hg19"	"chr19"	44110650	44110651	"chr19:39381277:39381278:-"	"-"	81	-7.69	11	11	4	"panTro4"	"GL397330"	2720187	2720188	"chr19:39381277:39381278:-"	"+"	81	-7.69	11	11	4	"nomLeu1"	"chr19"	45325814	45325815	"chr19:39381277:39381278:-"	"-"	81	-8.01	9	9	4	"rheMac3"	"chr22"	32200481	32200482	"chr19:39381277:39381278:-"	"-"	81	-16.52	11	11	4	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Emerging Exon"
